-0.076722,0.984400,0.158333
0.719467,-0.672118,0.175000
-0.981413,0.009576,0.191667
0.727601,0.653601,0.208333
-0.094650,-0.969751,0.225000
-0.582863,0.775801,0.241667
0.949601,-0.177543,0.258333
-0.816220,-0.508095,0.275000
0.257317,0.921259,0.291667
0.430194,-0.848448,0.308333
-0.885122,0.333068,0.325000
0.872177,0.350102,0.341667
-0.403931,-0.841687,0.358333
-0.268800,0.887199,0.375000
0.791548,-0.469094,0.391667
-0.893412,-0.187295,0.408333
0.527803,0.735390,0.425000
0.106611,-0.890822,0.441667
-0.673984,0.579375,0.458333
0.879547,0.027779,0.475000
-0.623200,-0.608182,0.491667
0.048169,0.859812,0.508333
0.538908,-0.658752,0.525000
-0.831953,0.120213,0.541667
0.685588,0.467154,0.558333
-0.187349,-0.796414,0.575000
-0.393975,0.703359,0.591667
0.753745,-0.248593,0.608333
-0.711805,-0.320482,0.625000
0.302991,0.704599,0.641667
0.247839,-0.710755,0.658333
-0.649728,0.349611,0.675000
0.700125,0.177264,0.691667
-0.387540,-0.589980,0.708333
-0.110029,0.679903,0.725000
0.526293,-0.415868,0.741667
-0.650135,-0.047481,0.758333
0.433657,0.459691,0.775000
-0.008941,-0.610888,0.791667
-0.391283,0.439881,0.808333
0.562186,-0.057641,0.825000
-0.433305,-0.322249,0.841667
0.096756,0.503887,0.858333
0.253837,-0.412240,0.875000
-0.435405,0.123906,0.891667
0.373954,0.187320,0.908333
-0.135553,-0.354965,0.925000
-0.123845,0.312932,0.941667
0.256926,-0.124846,0.958333
-0.212970,-0.063392,0.975000
0.066221,0.110508,0.991667
